model,split,accuracy_holding,accuracy_inside,accuracy_nextto,accuracy_ontop,accuracy_open,accuracy_reachable,holding_error,inside_error,nextto_error,ontop_error,open_error,reachable_error
InternVL3-78B,simple,0.89,0.82,0.59,0.77,0.38,0.76,0.025806712199693767,0.025901912881273675,0.021384056743231197,0.01829706557608766,0.04273589345207711,0.025523098781859765
InternVL3-78B,medium,0.86,0.87,0.48,0.83,0.37,0.74,0.01813730268352711,0.015853495934125487,0.010634599131420003,0.007995807691747429,0.035986108430893164,0.01761597515453406
InternVL3-78B,hard,0.83,0.83,0.43,0.83,0.79,0.42,0.034008195733516655,0.027542733171158497,0.0223424559090732,0.016952070928285944,0.04833859450076987,0.03397796888673963
InternVL3-8B,simple,0.91,0.83,0.61,0.84,0.36,0.76,0.02109759928646323,0.02269280731089997,0.01984626343132204,0.014916988848001153,0.03843075691322091,0.023264700531087586
InternVL3-8B,medium,0.91,0.89,0.65,0.91,0.55,0.71,0.01322875655532295,0.011894283855672285,0.009075673494815906,0.005445404096889543,0.03171904098448769,0.016624555300102754
InternVL3-8B,hard,0.9,0.93,0.71,0.9,0.62,0.44,0.016984155512168933,0.0165387246111877,0.009687458648131229,0.006404761218940949,0.052960002877283766,0.02314416068715916
Mistral-Small-3.1-24B-Instruct-2503,simple,0.98,0.84,0.72,0.87,0.67,0.28,0.008732960061725279,0.03801527706491932,0.01698269758216821,0.012720164114794123,0.031774030923002045,0.0193757321000629
Mistral-Small-3.1-24B-Instruct-2503,medium,1.0,1.0,0.79,0.94,0.73,0.4,0.0,0.0,0.005628360494497882,0.003281695375404098,0.02308035317543262,0.012239801227242091
Mistral-Small-3.1-24B-Instruct-2503,hard,0.99,0.96,0.78,0.93,0.72,0.4,0.0020888167883141976,0.0043492822577565005,0.003403933856415563,0.0020965873689268353,0.014867838833500563,0.00832851498466029
Molmo-7B-D-0924,simple,0.88,0.75,0.51,0.58,0.29,0.65,0.03217598666159375,0.04396577863204119,0.029204469245147822,0.028833995862629642,0.051052219480881046,0.03525860744424124
Molmo-7B-D-0924,hard,0.9,0.69,0.62,0.7,0.61,0.71,0.008174053141871968,0.014171981880546391,0.0046639444073809325,0.004403270538134211,0.02701397048245581,0.01052701685954994
Phi-4-multimodal-instruct,simple,0.51,0.39,0.2,0.14,0.33,0.63,0.056602527804384795,0.04693375946776241,0.024854790640048006,0.02156072505424771,0.06070420084310475,0.04080441152620633
Phi-4-multimodal-instruct,medium,0.69,0.38,0.11,0.18,0.26,0.57,0.027019143763132702,0.027838821814150108,0.0064530500176263345,0.007923496386120159,0.04220759980716129,0.0225267267073818
Phi-4-multimodal-instruct,hard,0.56,0.43,0.24,0.18,0.59,0.63,0.034925663632893504,0.026165566523742228,0.014538078820990421,0.013077893034082067,0.04452849520527166,0.025955720409291626
Qwen2.5-VL-72B-Instruct,simple,0.95,0.75,0.79,0.83,0.6,0.35,0.01443375672974065,0.048112522432468816,0.01629232948353304,0.01502531197679436,0.039867329651105725,0.02310925266393195
Qwen2.5-VL-72B-Instruct,medium,0.95,0.88,0.81,0.93,0.51,0.36,0.008621768860191064,0.013732131246511904,0.007758074502372135,0.0050457430452187195,0.032403703492039304,0.014813121596360824
Qwen2.5-VL-72B-Instruct,hard,0.95,0.83,0.72,0.91,0.64,0.39,0.005860514094507081,0.010727987820433386,0.004858657981073496,0.0030967989819208844,0.021130821751814972,0.010857670054340374
Qwen2.5-VL-7B-Instruct,simple,0.96,0.89,0.73,0.86,0.72,0.47,0.014032928308912474,0.03687441148306264,0.019639610121239316,0.015349802551048154,0.03346640106136302,0.023847881691823586
Qwen2.5-VL-7B-Instruct,medium,0.91,0.92,0.77,0.96,0.44,0.43,0.009669185626769789,0.011589071116490124,0.0066706437048598185,0.003106161812596079,0.030608530335146225,0.01376272770490805
Qwen2.5-VL-7B-Instruct,hard,0.96,0.9,0.8,0.93,0.6,0.37,0.0059850560166458,0.008285522649991611,0.004750138238456336,0.0030299589980903345,0.02104291871495683,0.011587674207898111
aya-vision-32b,simple,0.79,0.79,0.34,0.78,0.3,0.71,0.04366802665250787,0.04417878117244016,0.02978181528616297,0.026043441968472934,0.049415184560176226,0.03336124957151595
aya-vision-32b,medium,0.86,0.76,0.4,0.87,0.47,0.64,0.025650019439909973,0.03228445003845837,0.01336306209562122,0.009173428242172373,0.06855654600401044,0.02848275979665248
aya-vision-32b,hard,0.92,0.57,0.55,0.78,0.49,0.58,0.019427709526238478,0.027294409728580153,0.017655391424366864,0.014701051214148175,0.04054724340036473,0.02496032657665559
aya-vision-8b,simple,0.59,0.61,0.12,0.57,0.39,0.68,0.05334681202228655,0.05004208754953963,0.020676807402799632,0.03150091573760503,0.058297267762489766,0.03834410346155286
aya-vision-8b,medium,0.64,0.52,0.14,0.67,0.33,0.63,0.03243539416317533,0.033683014332827374,0.008847795490714828,0.011989917741095285,0.04984244840415997,0.025305821768609203
aya-vision-8b,hard,0.57,0.42,0.19,0.63,0.79,0.38,0.041545834183804385,0.03072761049140704,0.015411035007422441,0.01896634446123507,0.04032952501871667,0.028955727649310897
deepseek-vl2,simple,0.91,0.81,0.54,0.85,0.46,0.69,0.022767398410440898,0.032246935743801525,0.02311262746610815,0.016558790668013676,0.04910855816898815,0.027395735357706202
deepseek-vl2,medium,0.98,0.9,0.59,0.92,0.77,0.5,0.004314334859529562,0.01822370217692361,0.0043374174610892975,0.002392501377273395,0.042729067341521605,0.013139708280690917
deepseek-vl2,hard,0.91,0.93,0.45,0.89,0.88,0.83,0.012018504251546628,0.010869628343539566,0.011645447108469662,0.0073241952197110605,0.023391243213377044,0.013432601483282965
gemma-3-12b-it,simple,0.63,0.71,0.23,0.65,0.27,0.7,0.051762055067661156,0.06549491074376186,0.02953665169079678,0.03347670317059931,0.0530633045118214,0.035783904271027345
gemma-3-12b-it,medium,0.71,0.79,0.61,0.76,0.44,0.64,0.02966335331540468,0.028729307933334527,0.01222051006668784,0.010700511278419629,0.05656854249492381,0.02492035831925592
gemma-3-12b-it,hard,0.63,0.76,0.39,0.76,0.68,0.43,0.038655281259237645,0.02613706309851454,0.017169610916775522,0.01503403820777085,0.05151367329734277,0.030585882089717586
gemma-3-27b-it,simple,0.8,0.8,0.52,0.92,0.46,0.5,0.034815531191139566,0.041702882811414946,0.025937931303854016,0.014084841118242885,0.04607685886729827,0.031497039417435604
gemma-3-27b-it,medium,0.86,0.95,0.63,0.94,0.54,0.55,0.013835278976447162,0.009548341496610423,0.008238933383420896,0.004052652876907984,0.03391164991562634,0.016410803522449724
gemma-3-27b-it,hard,0.87,0.85,0.63,0.93,0.38,0.5,0.011987922766227977,0.011785113019775792,0.006965053244689,0.003680813374347331,0.026246692913372706,0.014176199428093568
gpt-4.1,simple,0.79,0.8,0.52,0.83,0.5,0.66,0.033942353090693836,0.028355248200333433,0.022615822112761357,0.017004097866758328,0.044721359549995794,0.0285657137141714
gpt-4.1,medium,0.81,0.94,0.55,0.89,0.74,0.72,0.02299708632373769,0.016349268430087396,0.014433756729740644,0.009077852576871217,0.043645738566892245,0.020799471766154855
gpt-4.1,hard,0.86,0.79,0.56,0.86,0.77,0.49,0.02278081467466384,0.026857109818930386,0.017728105208558366,0.012392393980641053,0.042083250825001625,0.026130191067918
gpt-4.1-nano,simple,0.85,0.66,0.18,0.73,0.49,0.67,0.03784949497236286,0.04537307126843272,0.021021802198305233,0.024292380708342314,0.05891377880711212,0.035544740418641
gpt-4.1-nano,medium,0.89,0.83,0.3,0.84,0.62,0.55,0.02003071412098733,0.02689962348416319,0.011424353301303944,0.009139482641043155,0.05843366113485607,0.02503162556609164
gpt-4.1-nano,hard,0.86,0.74,0.21,0.69,0.64,0.53,0.03560011827301465,0.03489586678945433,0.020214368396147635,0.022953154263420837,0.061457702367790065,0.03839224527220855
llava-onevision-qwen2-72b-ov-hf,simple,0.87,0.48,0.5,0.84,0.2,0.64,0.03691409761066412,0.0927733612182082,0.038014296063485276,0.027872542272221298,0.05656854249492381,0.04437601569801833
llava-onevision-qwen2-72b-ov-hf,medium,0.94,0.91,0.68,0.94,0.6,0.63,0.011399733200855683,0.011986834883584397,0.010011508808043978,0.005096941397304284,0.03325643972842159,0.01830065007324735
llava-onevision-qwen2-72b-ov-hf,hard,0.96,0.81,0.59,0.88,0.6,0.68,0.013653122975725789,0.02932194632545474,0.013501514051691317,0.008920649947090345,0.057338217908099585,0.026754242162397544
llava-onevision-qwen2-7b-ov-hf,simple,0.87,0.82,0.28,0.81,0.64,0.44,0.030573039492364066,0.0328233493533753,0.023830386567230962,0.020821170158292334,0.042261643503629945,0.030784611540383415
llava-onevision-qwen2-7b-ov-hf,medium,0.89,0.96,0.41,0.88,0.73,0.52,0.01588457074109546,0.009797958971132717,0.011361433763445202,0.007506667260628578,0.0349889068489496,0.019904534061124773
llava-onevision-qwen2-7b-ov-hf,hard,0.94,0.88,0.45,0.94,0.84,0.45,0.014960264830861918,0.03004270464795243,0.012288478807785608,0.005866108280413439,0.03703280399090206,0.025724787771376326
